__text__,kmeans_label,dbscan_label
reading comment talking iphone old iphone literally zero issue,3,-1
hall susan davis paul lee jeffrey,2,-1
never gon buy made india product bye bye apple lost year long apple fan customer,2,-1
samsung waiting manufactured vietnam,2,-1
better india,2,-1
anyone feel iphone get boring time go,3,-1
never get iphone,3,-1
never understood unboxing possibility,2,-1
every year new update camera placement playing year problem,1,-1
red one,2,-1
even september misleading public jesus say iphone prototype,2,-1
dont know apple always release new phone every year nothing change make money iphone user like lose google pixel future,1,-1
thompson timothy martinez patricia taylor mary,2,-1
perez carol davis deborah martin william,2,-1
waiting iphone inch inch finally time pro inch,2,-1
much change iphone design already best,3,-1
went iphone flat surround reminded feel reason buy another iphone slight change enough spend,3,-1
stop buying iphones iphone pro max since wan buy iphone disgusting company people exaggerate every year,1,-1
jones charles jackson steven davis brian,2,-1
see people amnesia keep bring iphone damn set iphone like,3,-1
china create nonexistent product,2,-1
turn,2,-1
dude lost reputation bad fake iphones closest ever get early review unit,2,-1
know happened,2,-1
royz lookup unbox therapy bendgate think deleted also video pretty much apologized apple sent email saying want receive early unit review,2,-1
happened rock long time,2,-1
think need get back track,2,-1
million view video alone yet reputation lost plz tell,2,-1
wtf dude really stupid com,2,-1
week later turn real thing,2,-1
young margaret lopez david moore kenneth,2,-1
damn wish black iphone pro like,0,-1
anderson paul martinez amy taylor lisa,2,-1
say non pro model look bit different feel like buyer would prefer many iphone user seen great hardware improvement,2,-1
rock pro intention buying anything else,0,-1
love every year change camera placement lmfao,1,-1
best iphone yet,3,-1
nothing special design kinda look ugly big camera hole,2,-1
apple give folding phone,2,-1
dear apple please creative need iphone air thin lightweight iphone bend folding screen iphone studio come pen chip iphone ultra super smartphone day solar battery mind kept design long change current asymmetrical camera layout single lens high end company release new model every year small change like rolex oyster perpetual roll royce phantom example least company introduced option new design phone enough need,3,-1
love new camera layout personally,2,-1
pro max zoom stuck,0,-1
still work like new reason upgrade,2,-1
lew reviewing dummy unit since apple never give review unit,2,-1
plzz want iphone plz,3,-1
effort ship dummy unit china even research change camera shutter button screen going inch literally one google search away lazy,2,-1
click bait,2,3
upgraded iphone iphone,3,-1
would worth upgrading iphonex still issue mine year,2,-1
motherfucker hair started withered still hated till day dont know maybe click baiting tech channel doesnt give proper tech specification could anything,2,-1
apple engineer playing bingo come iphone design ball iphone guy,3,-1
apple every year got new iphone change camera position plus new color,1,-1
watching iphone pro new one current one job,3,-1
smith barbara brown donna martinez shirley,2,-1
iphone powered android assembled china,3,-1
reason whenever listen joe rogan think face every time jamie something,2,-1
anybody think secretly jamie joe rogan show,2,-1
yay apple moved camera absolutely must burn hard money trash junk,2,-1
extremely picky stuff look might person enough ocd point pro iphones camera platform line corner phone buying regular iphones generation yes know name samsungtaba lite mean buy iphone,2,-1
already dived pro supposedly suppose camera shutter button talked month previously,2,-1
thumbnail actually look cheaper previous version,2,-1
company need release new phone every year stop needless waste planet fucked much materialism consumerism,1,-1
stop selling much shit,2,-1
fake channel,2,-1
get,2,4
got pro upgrading till,0,-1
keep growing taller definitely like,2,-1
well glad traded iphone pro max android,0,-1
apple launch plz ask make apple watch ultra wait,2,-1
see bathe picture creat iphone,3,-1
thought iphone make china got ban china,2,-1
time camera get bigger time look worse,2,-1
iphone revolutionise mobile telephone industry,3,-1
deep purple iphone pro still awesome,0,-1
golden iphone pro still going pretty strong,0,-1
matte black sexy,2,-1
phone need release new model every year ive saying year,1,-1
waiting pixel unboxing review,2,-1
almost change sound like apple yes apple stopped innovating since tim took,2,-1
apple intelligence,2,-1
feel like one care lol,2,-1
really iphone apple seriously fuuuccck going android,3,-1
still got iphone pro max apple change camera front get new one last year camera,0,-1
would respectable channel endorse iphone leak china thing comprehend spending time searching iphone leak released anyways advantage saying official presentation aha leaked,3,-1
button section antenna already sort cutout recent iphones,2,-1
nothing phone light show,2,-1
junk costumer impressed,2,-1
still iphone,3,-1
likin,2,2
staying pro max iphone,0,-1
bro managed stay pro max ever since came another year newer better phone much doable patient next best phone,0,-1
still pro max,0,-1
franko pro max still relatively new bro honestly wanted could definitely hold onto next year pro max definitely fighter,0,-1
apple given design wonder buffett dumping half stock,2,-1
sabi mr ang ganda bagong iphone sabi mukhang lumang iphone,3,-1
filming secret backroom area,2,-1
really get echo bat cave,2,-1
rip apple going design,2,-1
uncle max,0,-1
bro really going final look iphone swear sale would sht look ugly,4,-1
iphone pro max better choice everywhere deal grab,0,-1
ahhhh fricken wait get pro,0,-1
side button bottom apparently new shutter button hold sideways press take photo,2,-1
iphone released every year every year,1,-1
super satisfied iphone pro max period,0,-1
waiting come buy plus less,2,-1
imagine outrage still use jurassic,2,-1
apple going backwards innovation new design,2,-1
damn iphone mini,3,-1
,2,2
apple given come iphone color,3,-1
iphone joke,3,-1
upvote another mini,2,-1
please,2,-1
lew suddenly become white,2,-1
get sample,2,-1
gon pay apple music apple icloud apple intelligence,2,-1
big change,2,-1
wonder worth change pro new one feel like keep staying little modification,2,-1
apple released new phone least year,1,-1
guess samsung went making screen inspiring camera layout lol,2,-1
imma get new iphone,3,-1
still year old product red battery health say fan wishy washy pastel colour redesigned thick camera bump shown would prefer get another product red apple seems abandoned colour last iteration disappointing,2,-1
iphone,3,1
think shutter button also going fingerprint scanner,2,-1
need,2,-1
literally phone,2,-1
want anyways stick iphone fall apart,3,-1
bull every year,1,-1
feel like phone company send youtubers first design see people react enough time adjust design,2,-1
anker dock need mini apple wheel chrome match,2,-1
wary battery included wire remove change one short wire useless put usb,2,-1
wait see jre demolish show durable rather stronger,2,-1
look like,4,-1
liked mute switch,2,-1
apple ceo want present incredible revolutionary phone simply best ever iphone new nothing really moved camera back ole iphone,3,-1
huawei huawei huawei huawei huawei huawei huawei huawei huawei huawei huawei huawei huawei huawei huawei huawei,2,-1
look like chinese phone,4,-1
another brick sweet apple nike seems one thing common lack innovation every year exact different toilet,1,-1
dope video new later case going leather option,2,-1
probably keep going environment,2,-1
look smasnug,4,-1
apple really come phone every year hardware software minor upgrade enough ton make wan switch every year iphone literally phone iphone phone far design look notch iphone look day day use people use feature phone come anyways guess latest greatest,1,-1
apple iphone like getting back toxic said changed clearly still thing,3,-1
still drawn promise new exciting iphone model allowing disappointed every year zero innovation since steve job,1,-1
anker trash like,2,-1
company american phone made china joke,2,-1
look like galaxy face blue smiling,4,-1
ugly tired sick phone,2,-1
minus zoom camera display,2,-1
going wait pro max,0,-1
good iphone since moving motorola razr plus,3,-1
ad run,2,-1
iphone still work,3,-1
android phone slowly getting wider aspect ratio apple apple decides pull uno reverse card make phone longer,2,-1
apple release reduced meausuring previous size lol,2,-1
clickbait,2,5
nothingburger,2,2
one,2,-1
cooooolollll woooww coool gon buy,2,-1
buy chinese phone spend want latest iphone,3,-1
look basic mid iphone better till,3,-1
bullshit al usual plus look ridiculous like plus model,4,-1
going wait iphone,3,-1
wow difference,2,-1
prefer pink,2,-1
brought back iphone plus design,3,-1
bad dream,2,-1
southeast asian ban apple life going woke wrong decision thanks making joke thailand apple thanks lot,2,-1
dhgate iphones,2,-1
buy new iphone,3,-1
height changed appel sale new phone case bionic chip inside cool,2,-1
fingerprint lock button sure,2,-1
prime example want peace,2,-1
put phone bag bro,2,-1
boring look like samsung lol,4,-1
apple going get rid dynamic island,2,-1
definitely fan camera layout rest worth upgrading capture spacial video vision planning get anyway,2,-1
pro version mat,0,-1
happened lew later,2,-1
ppl think everyone getting new phone every year ppl got older iphones others want upgrade ppl newer iphones wait phone get older everyone latest iphone upgrading every year lmao,1,-1
samsung already stole sony boxy design apple stealing sony xperia design,2,-1
apple fan boy gon hate camera design,2,-1
gift iphone,3,-1
phone last major jump keeping pro max pas,0,-1
use iphone actually first apple phone ever switch stay,2,-1
iphone max,0,-1
button antenna milled flush rubber glass like layer put iphone model use sim,2,-1
ive android guy forever baught pro max try wanted buy ultra bit changed ming bought pain as liking touvh thing two day yet,2,-1
iphone could build hype releasing new iphone every year,1,-1
cost got keeping till wheel fall,2,-1
hope innovation,2,-1
could use botton open snapchat would good,2,-1
really wished baby pink colour pro max,0,-1
watching iphone,3,-1
different,2,-1
mockups sold anywhere,2,-1
disgusting,2,-1
going upgrade going iphone,3,-1
hate designe camera like android,4,-1
guy clicked dislike button want hide number,2,-1
basically nothing new,2,-1
min video measuring difference iphones ridiculous,2,-1
max still mog series,0,-1
slow phone apple got sued get sued,2,-1
screen tempting,2,-1
look like samsung,4,-1
apple boring,2,-1
flipped camera back iphone,3,-1
thing mid grade mera multitask apple still fix security problem,2,-1
miss lew later,2,-1
crazy get released next month got early october flew quickly,2,-1
switched back iphone design good,3,-1
thought iphone concept,3,-1
one camera,2,-1
look like iphone,4,6
lmao look like iphone,4,-1
must making much money everything else care least change iphone enough make people want always want newest stuff give iphone care,3,-1
apart chip iphone innovate anymore apple vision never take tim cook need,2,-1
rather thicken phone slightly create flat back use space battery camera bump really,2,-1
still want pro max sure sold year released really need release new phone every year,1,-1
miss chance promote phone case changed video title already seen fake phone google,2,-1
ban iphone thailand,3,-1
iphone look like xiaomi,4,-1
drop inconsistent luke,2,-1
music use,2,-1
base model look ugly miss small camera used look classy,4,-1
honest upgrade last year ill good iphone pro min,0,-1
wish new pro pro max wider would swap ultra,0,-1
wonder gimmick apple gon come next,2,-1
samlachow uncle bird beat background video,2,-1
yup iphone,3,-1
like camera layout completely underwhelmed first actually quite modern scandi tempted get pink already pink getting pro silver get pink well would keep one pink bedroom game one pink pink imac lounge work white pro going,2,-1
think apple know majority phone user dont care camera placed back want camera best animation good battery life optimization iphone want thing apple improve customization feature thats,2,-1
apple vision pro need camera side side video picture button camera button,2,-1
definitely exist introduced yet,2,-1
video every year,1,-1
apple samsung make new device least year next phone feel new,1,-1
phone broke otter box,2,-1
check pont epa fine,2,-1
matte black gorgeous,2,-1
really hope something flickering caused pwm straining eye looking display iphone pro max look iphone lcd,0,-1
batman backround,2,-1
anyone else think point getting year might get pro max save money whats point,0,-1
usually overpriced identically piece equipment,2,-1
release iphone similar design shout boooooooooooooooo apple park,3,-1
disliked unsubscribed clickbait dummy call iphones,2,-1
nothing best iphone pro purple edition far,3,-1
miss lew later podcasts back anytime future,2,-1
wonder mainly paralx video,2,-1
since huawei mate mate pro iphone never latest never nice screen design never hig tech everrrrr back back back funny homepage screen file,2,-1
apple trolling everyone,2,-1
apple sell dog shit apple logo dumb customer buy,2,-1
parent still use iphone lmao mom got screen replaced weekend,2,-1
shameless way get customer upgrade iphone everything change lens placement,2,-1
got iphone pro max,0,-1
excitement palpable lol,2,-1
like camera sticking phone jiggle lay,2,-1
thus going back samsung ultra,2,-1
samsung thing last year,1,-1
love black beautiful everything else jes old form factor,2,-1
actually real actually sanctioned apple reveal could face legal issue never mind basically thing,2,-1
button sim tray,2,-1
get,2,4
capture button useless already volume button shutter,2,-1
think second button would fingerprint similar ipad maca,2,-1
look like iphone,4,6
drop phone pretend like accident,2,-1
thought button supposed gone year ago back age old recycle design yawn,2,-1
iphone think worthy oponent iphone design,3,-1
silly title video,2,-1
phone,2,-1
sure button antenna area phone year lol,2,-1
misleading video title expected unfortunately get click,2,-1
revamp iphone,3,1
there new phone every month,1,-1
,2,2
childhood dream get iphone poor father much money family poor whole life dream iphone,3,-1
dream goal dream good,2,-1
probably iphone iphone still sticking iphone broke,3,-1
iphone look exact,4,-1
nothing new design,2,-1
still pro max year phone overheats much scary,0,-1
liked normal simple minimalist feel way like exaggerated camera,2,-1
voice sound different,2,-1
iphone camera look like nothing phone camera,4,-1
nothing changed since iphone still using gold pro max make huge change huge design,0,-1
feel bad buy new phone next model come soon,2,-1
,2,2
like new model design behind camera,2,-1
por black look nice,4,-1
iphone plan keeping till dy opinion apple really made enough drastic change get brand new phone,2,-1
iphone dead,3,-1
apple make marvel back different character imagine spider man iphone,3,-1
iphones trash try figure people still buy,2,-1
think officially ran idea,2,-1
flashlight terribly placed,2,-1
iphones trash here exact phone every time year,1,-1
,2,2
crapple ipoop,2,2
new button look kinda like fingerprint sensor like flip series,4,-1
make maximum profit give little possible charge much possible,2,-1
nobody apple user get less still happy,2,-1
last iphone iphone first came switched samsung cause bored lack customization option seems like apple kinda hit wall come innovation man changing material color camera placement slightly better camera battery people sheep,2,-1
get chat anker everyone comment anker,2,-1
iphone iphone iphone,3,1
give rat as look like thing care performs many problem ignored,4,-1
vertical camera nah,2,-1
fake look pretty fricking good fake official,2,-1
surprisingly many view,2,-1
side button thing could sim tray country outside state,2,-1
china everybody us fake iphones,2,-1
pink version straightup samsung design lmao,2,-1
know people decide waste time reading comment clearly nothing say person still reading,2,-1
apple samsung stanley designer company every company stayed business fooling people punch line need latest expensive thing somebody suffer feeling unworthy brought silly product fill void company win recognition award every fool buying junk,2,-1
look like nothing cmf phone,4,-1
imagine clickbaiting,2,-1
tech burner phone skin,2,-1
camera lens line look like samsung galaxy,4,-1
mad apple camera layout get pro max instead plus,0,-1
bigger pro model yuck need thinner smaller pro unit,0,-1
lol,2,7
sooo yall really gone complain lol,2,-1
might switch galaxy yep time,2,-1
tech world full buls,2,-1
antenna power button,2,-1
nigga lol,2,7
waiting,2,-1
case want,2,-1
apple downvrading yall still buy shit,2,-1
diet lost much weight,2,-1
measure thickness size camera bump,2,-1
thought mockups would able turn disapointed,2,-1
suprised,2,-1
refreshing new design camera,2,-1
whats going camera bump model two camera,2,-1
wear cap time bald,2,-1
one day,2,-1
need start coming cooling system thing get hot,2,-1
quite uninteresting design,2,-1
,2,2
new usa iphones sim tray anymore lmao,2,-1
wow iphone wouldve cracked forsure,3,-1
lol next one buying,2,-1
congratulation got phone time,2,-1
bro us batman warehouse shoot unboxing video,2,-1
shit,2,-1
,2,2
ugliest case seen iphone,3,-1
think better,2,-1
spatial video photo capture button side way make reorientate phone always shooting vertical,2,-1
dont get pro pro max model mistaken confused android lover,0,-1
removable back latest release melt battery unnecessarily sure sue battery replacement,2,-1
clickbait always,2,-1
,2,2
changed area happened place second floor area,2,-1
black one look nice,4,-1
,2,2
box small well maybe future give box unboxing,2,-1
tired phone pretty much year miss nokia lumia line device different design wise unique feature,2,-1
every single one iphone look one really innovative nothing change except bump camera nobody still chek chip spy,2,-1
iphone best simple design noticing look like android phone design,4,-1
mom said graduate grade gon get pro max,0,-1
spoilt asf,2,-1
capping,2,2
noice getting pro grade,0,-1
random birb might,2,-1
macrumors still aware mockups,2,-1
new iphone increased screen pixel previous version allow better notification reading ready open actual message yes sell value price cost hey value right,2,-1
stopped pro max find change hope apple change policy regarding renewal look competitor technology,0,-1
yea pro max basically new iphones thats stopped apparently slim game changer ill keep,0,-1
nah best place stop everything one charger,2,-1
still rocking pro max,0,-1
yeah maybe apple fan finally get touchscreen laptop sometime,2,-1
upgrading iphone every year year finally switched ultra customization part phone incredible,1,-1
new iphone see new iphones customer apple clever enough keep apple make profit cleverness,2,-1
camera getting bigger bigger,2,-1
apple robbing money price change nothing new iphone iphone status,3,-1
like stepping time machine landing earlier era old school design,2,-1
,2,2
,2,2
,2,2
saving first iphone seeing want save buy instead really appreciate help support anyone,2,-1
sharing design lately,2,-1
dream mony,2,-1
dream something else,2,-1
akimbo bro,2,-1
def getting pro along watch ultra,0,-1
pro,0,-1
innovation,2,-1
apple decided put camera feature new iphone would amazing definitely see samsung first course,2,-1
going back iphone theme apple user tired apple half assing thing charging came samsung yearsss ago honestly starting regret even apple fan,2,-1
feel like apple stopped getting better better design swing something new improved like iphone something old looking uglish like entice customer change,4,-1
bend,2,-1
india want,2,-1
use bottom camera added case iphone proudly say using iphone,3,-1
went back iphone,3,-1
island look much cheaper,4,-1
griffy gon field day,2,-1
getting pro mini,0,-1
dream,2,-1
sim card port,2,-1
tower camera setup oppose stove copying samsung,2,-1
bro lame clickbait post iphones like men junk small one big one ugly easily broken,2,-1
made back,2,-1
soon saw camera setup,2,-1
apple trademark minimal upgrade none well done never fail disappoint lol,2,-1
one account google rethink phone,2,-1
crazy know nothing capture button,2,-1
old wannbe got part content creation year late,2,-1
know gon look like anyways,4,-1
funny seeing everyone say phone complain hyped finally upgrade iphone everyone else stay mad,2,-1
make later phone case available india,2,-1
shit every year,1,-1
kinda giving iphone vibe,3,-1
apple release iphone year every year,1,-1
apple always creates unique highlight product even though configuration powerful smoothest stable,2,-1
disappointed,2,-1
honestly care look day everything look pretty good want cool feature,4,-1
someone give iphone please,3,-1
hope real iphone ugly mean look like uglyass chinese xiaomi,4,-1
wondering new side button power button programable like haptic touch airpods click click twice think get point going,2,-1
titanium get replaced ipad pro graphite,0,-1
peak phone nobody excited new phone anymore great,2,-1
bro still use iphone plus face purple cry,3,-1
certainly bad phone,2,-1
anyone interested lens setup apple plan recording video vision pro,2,-1
first time look pro version pro likely new phone although access latest apple guy look forward using mess get sorted,0,-1
mock ups pro pro max taller accomodate new screen,0,-1
think apple iphone see speed safe away device low picture enough light right size high cost hard risk lost money return switched trade best equity better wise price cheap product hard accepted must able understand failing dirty business china hide mic old mic,2,-1
look better,4,-1
released,2,-1
apple copying fold camera bump design,2,-1
lek lek iphone pon belum lagi,2,-1
na kadar erken yor bunlar sahte,2,-1
iphone come year lmfao,1,-1
,2,2
came last year september still still basically brand new phone already releasing another one took year order pop brand new phone frustrating considering barely finishing paying pro max,1,-1
ayo thats nothing phone camera setup,2,-1
keep plus another year plus great upgrade spending money something changed little isnt worth,2,-1
bro said fly shit felt spirit,2,-1
camera parallel pro maybe easier producing repair,2,-1
good pro upgraded pro def made good upgrade phone wait see pro offer obviously targeted upgrade audience,0,-1
like camera design tbh waiting design one maybe switch samsung,2,-1
apple turning device ugly samsung copying,2,-1
old boring design nothing changed since iphone,3,-1
get iphone mockups,3,-1
using old iphone body,3,-1
dont make hate samsung galaxy making iphone similar galaxy please keep selling ugly alien eye camera design screen fanboys like last year sure happy blue bubble wont notice innovation left,2,-1
worst design ever,2,-1
second button way better spot camera right handed,2,-1
runout idea,2,-1
company,2,-1
apple taking taking way slow,2,-1
non pro least display buying basic iphone everything need,0,-1
could antenna,2,-1
button side return touch,2,-1
inovation maybe stop buying new phone start make good phone another money grab,2,-1
would cool screen holographic map next,2,-1
think might shutter button like sony phone,2,-1
clickbait,2,5
hahaah channel buy view comment,2,-1
acting like seen mockups none shocking great video though,2,-1
button like little red button element gun say press buy new iphone survive lol,2,-1
wow big update apple change,2,-1
nobody going bring completely misleading title,2,-1
apple favourite,2,-1
new iphones super lame could record video jumping whale see head going water iphone would pocket screen lock please new iphone put see could,2,-1
passing year love iphone pro get pro next year stronger spec,0,-1
pre imagination people,2,-1
wes ben nek besok urioe kenopo nopo ben rasakke wes sugehkemaki aku mbok kirimi misal koe baik hati dol gawe bayar utang,2,-1
sim slot,2,-1
,2,2
iphone camera setup since feel like nothing changed iphones besides bigger screen getting new one stick iphone,3,-1
still iphone still job,3,-1
pro model bored,0,-1
wooooow much new wait people keep buying new one,2,-1
camera shutter,2,-1
sim slot shutter button,2,-1
let wait fro iphone hope make real change,3,-1
ict,2,2
cmf nothing phone,2,-1
still design thing nothing special compared samsung latest device feature etc coming long time apple user,2,-1
get white later case want white one fold,2,-1
different look like poco,4,-1
guess pro max staying another year,0,-1
,2,2
finally upgraded love much think ever upgrade unless drop dead get stolen minimum year still iphone arguably favourite version,2,-1
waited even get apple intelligence,2,-1
redeem ill think buy iphone pro max dont think new feature pro price pro max pretty interesting right,0,-1
redeem care ngl,2,-1
rippa apple intelligence huge like real big would big bummer get,2,-1
rippa care apple intelligence one saying care coping older model get think move apple skipped base model,2,-1
redeem iphone pro see great need upgrade apple intelligence one currently going last long,2,-1
year joke,1,-1
changed year going keep year even significant new feature wait see apple marketing slightly changed screen size slightly improved camera want,1,-1
yeah right,2,-1
dazauto interested usb since gadget use iphone stable version financial muscle upgrade every year afford,1,-1
joneschilufya usb slap thank god finally changed,2,-1
,2,2
joneschilufya swapping exists,2,-1
give one please,2,-1
used completely,2,-1
,2,2
white iphone pro max accompanied pink apple silicone case better,0,-1
really depends new integration make likely getting pro max upgrading pro max,0,-1
espera ultra samsung,2,-1
work phone store remember color came year barely tell phone another year another spider man imposter iphone wanted see something new galaxy killing iphone user term flipping folding phone new smart ring etc imessage would taken jump,1,-1
xperia camera,2,-1
iphone trash anyways,3,-1
got iphone beifre gta,3,-1
kind knew,2,-1
think whole channel started fake iphone giveaway getting early release,2,-1
take,2,-1
got pro max thinking getting although like camera setup base model,0,-1
gak mudeng aku bahasane mung iso dongo tok mugo iso tuku ngono iku ngko,2,-1
real iphone,3,-1
upgrading iphone pro max pro max like even number regard extra button remember bixby button maybe like honestly think extra button though capture button logical choice,0,-1
tim cook might well announce next apple event soon since new iphone leaked,2,-1
later case ugly hell,2,-1
buy iphone made india,3,-1
would stop making camera stick every time terrible new one bad either damn soon camera array thickness phone lol,2,-1
new camera set look like android phone sure brand still apple apple,4,-1
ugly,2,-1
new button might antenna,2,-1
mother effers bought base model,2,-1
